Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude,US Zip
Transaction_date # 81,Product # 81,Price # 81,Visa,Name # 81,New York,NY,United States,Account_Created # 81,Last_Login # 81,Latitude # 81,-74.00639,10007
Transaction_date # 82,Product # 82,Price # 82,Visa,Name # 82,Spring Lake Park,MN,United States,Account_Created # 82,Last_Login # 82,Latitude # 82,-93.23778,55432
Transaction_date # 83,Product # 83,Price # 83,Visa,Name # 83,Seattle,WA,United States,Account_Created # 83,Last_Login # 83,Latitude # 83,-122.33083,98104
Transaction_date # 84,Product # 84,Price # 84,Mastercard,Name # 84,Deptford,NJ,United States,Account_Created # 84,Last_Login # 84,Latitude # 84,-75.15306,08096
Transaction_date # 85,Product # 85,Price # 85,Visa,Name # 85,Alpharetta,GA,United States,Account_Created # 85,Last_Login # 85,Latitude # 85,-84.29417,30009
Transaction_date # 86,Product # 86,Price # 86,Visa,Name # 86,Washington,DC,United States,Account_Created # 86,Last_Login # 86,Latitude # 86,-77.03667,20004
Transaction_date # 87,Product # 87,Price # 87,Amex,Name # 87,Washington,DC,United States,Account_Created # 87,Last_Login # 87,Latitude # 87,-77.03667,20004
Transaction_date # 88,Product # 88,Price # 88,Visa,Name # 88,Athens,GA,United States,Account_Created # 88,Last_Login # 88,Latitude # 88,-83.37806,30601
Transaction_date # 89,Product # 89,Price # 89,Diners,Name # 89,Hoschton,GA,United States,Account_Created # 89,Last_Login # 89,Latitude # 89,-83.76139,30548
Transaction_date # 90,Product # 90,Price # 90,Visa,Name # 90,Royal Oak,MI,United States,Account_Created # 90,Last_Login # 90,Latitude # 90,-83.14472,48067
Transaction_date # 91,Product # 91,Price # 91,Visa,Name # 91,Royal Oak,MI,United States,Account_Created # 91,Last_Login # 91,Latitude # 91,-83.14472,48067
Transaction_date # 92,Product # 92,Price # 92,Mastercard,Name # 92,Belmont,MA,United States,Account_Created # 92,Last_Login # 92,Latitude # 92,-71.17917,02478
Transaction_date # 93,Product # 93,Price # 93,Mastercard,Name # 93,Old Greenwich,CT,United States,Account_Created # 93,Last_Login # 93,Latitude # 93,-73.56528,06870
Transaction_date # 94,Product # 94,Price # 94,Mastercard,Name # 94,Coconut Grove,FL,United States,Account_Created # 94,Last_Login # 94,Latitude # 94,-80.25722,33133
Transaction_date # 95,Product # 95,Price # 95,Visa,Name # 95,Vienna,VA,United States,Account_Created # 95,Last_Login # 95,Latitude # 95,-77.26556,22180
Transaction_date # 96,Product # 96,Price # 96,Visa,Name # 96,San Ramon,CA,United States,Account_Created # 96,Last_Login # 96,Latitude # 96,-121.97694,94526
Transaction_date # 97,Product # 97,Price # 97,Visa,Name # 97,Norfolk,VA,United States,Account_Created # 97,Last_Login # 97,Latitude # 97,-76.28556,23510
Transaction_date # 98,Product # 98,Price # 98,Mastercard,Name # 98,Norfolk,VA,United States,Account_Created # 98,Last_Login # 98,Latitude # 98,-76.28556,23510
Transaction_date # 99,Product # 99,Price # 99,Visa,Name # 99,Rockville,MD,United States,Account_Created # 99,Last_Login # 99,Latitude # 99,-77.20889,20854
Transaction_date # 100,Product # 100,Price # 100,Mastercard,Name # 100,Shreveport,LA,United States,Account_Created # 100,Last_Login # 100,Latitude # 100,-93.75,71107
Transaction_date # 101,Product # 101,Price # 101,Mastercard,Name # 101,Shreveport,LA,United States,Account_Created # 101,Last_Login # 101,Latitude # 101,-93.75,71107
Transaction_date # 102,Product # 102,Price # 102,Amex,Name # 102,Little Silver,NJ,United States,Account_Created # 102,Last_Login # 102,Latitude # 102,-74.0475,07739
Transaction_date # 103,Product # 103,Price # 103,Amex,Name # 103,Mid City West,PA,United States,Account_Created # 103,Last_Login # 103,Latitude # 103,-75.16417,19107
Transaction_date # 104,Product # 104,Price # 104,Visa,Name # 104,Atlanta,GA,United States,Account_Created # 104,Last_Login # 104,Latitude # 104,-84.38806,30334
Transaction_date # 105,Product # 105,Price # 105,Mastercard,Name # 105,NYC,NY,United States,Account_Created # 105,Last_Login # 105,Latitude # 105,-74.00639,10007
Transaction_date # 106,Product # 106,Price # 106,Visa,Name # 106,Brookline,MA,United States,Account_Created # 106,Last_Login # 106,Latitude # 106,-71.12167,02445
Transaction_date # 107,Product # 107,Price # 107,Mastercard,Name # 107,Irving,TX,United States,Account_Created # 107,Last_Login # 107,Latitude # 107,-96.94861,75060
Transaction_date # 108,Product # 108,Price # 108,Amex,Name # 108,Ottawa Hills,OH,United States,Account_Created # 108,Last_Login # 108,Latitude # 108,-83.64333,43606
Transaction_date # 109,Product # 109,Price # 109,Mastercard,Name # 109,Portola Valley,CA,United States,Account_Created # 109,Last_Login # 109,Latitude # 109,-122.23417,94028
Transaction_date # 110,Product # 110,Price # 110,Visa,Name # 110,Kearns,UT,United States,Account_Created # 110,Last_Login # 110,Latitude # 110,-111.99556,84118
Transaction_date # 111,Product # 111,Price # 111,Amex,Name # 111,Brooklyn,NY,United States,Account_Created # 111,Last_Login # 111,Latitude # 111,-73.95,11226
Transaction_date # 112,Product # 112,Price # 112,Amex,Name # 112,Penngrove,CA,United States,Account_Created # 112,Last_Login # 112,Latitude # 112,-122.66556,94951
Transaction_date # 113,Product # 113,Price # 113,Visa,Name # 113,Lemont,IL,United States,Account_Created # 113,Last_Login # 113,Latitude # 113,-88.00167,60439
Transaction_date # 114,Product # 114,Price # 114,Mastercard,Name # 114,San Carlos,CA,United States,Account_Created # 114,Last_Login # 114,Latitude # 114,-122.25944,94070
Transaction_date # 115,Product # 115,Price # 115,Mastercard,Name # 115,Chicago,IL,United States,Account_Created # 115,Last_Login # 115,Latitude # 115,-87.65,60608
Transaction_date # 116,Product # 116,Price # 116,Visa,Name # 116,Wantagh,NY,United States,Account_Created # 116,Last_Login # 116,Latitude # 116,-73.51056,11793
Transaction_date # 117,Product # 117,Price # 117,Diners,Name # 117,Fort Oglethorpe,GA,United States,Account_Created # 117,Last_Login # 117,Latitude # 117,-85.25694,30742
Transaction_date # 118,Product # 118,Price # 118,Mastercard,Name # 118,Corbin City,NJ,United States,Account_Created # 118,Last_Login # 118,Latitude # 118,-74.81556,08270
Transaction_date # 119,Product # 119,Price # 119,Mastercard,Name # 119,Lakeside,CA,United States,Account_Created # 119,Last_Login # 119,Latitude # 119,-116.92139,92040
Transaction_date # 120,Product # 120,Price # 120,Visa,Name # 120,Margate,FL,United States,Account_Created # 120,Last_Login # 120,Latitude # 120,-80.2375,33067
Transaction_date # 121,Product # 121,Price # 121,Amex,Name # 121,South Palm Beach,FL,United States,Account_Created # 121,Last_Login # 121,Latitude # 121,-80.03667,33480
Transaction_date # 122,Product # 122,Price # 122,Diners,Name # 122,New York,NY,United States,Account_Created # 122,Last_Login # 122,Latitude # 122,-74.00639,10007
Transaction_date # 123,Product # 123,Price # 123,Mastercard,Name # 123,Anchorage,AK,United States,Account_Created # 123,Last_Login # 123,Latitude # 123,-149.90028,99501
Transaction_date # 124,Product # 124,Price # 124,Visa,Name # 124,North Brunswick,NJ,United States,Account_Created # 124,Last_Login # 124,Latitude # 124,-74.482,08902
Transaction_date # 125,Product # 125,Price # 125,Visa,Name # 125,Jacksonville,FL,United States,Account_Created # 125,Last_Login # 125,Latitude # 125,-81.65583,32202
Transaction_date # 126,Product # 126,Price # 126,Visa,Name # 126,Baytown,TX,United States,Account_Created # 126,Last_Login # 126,Latitude # 126,-94.97722,77520
Transaction_date # 127,Product # 127,Price # 127,Mastercard,Name # 127,Winter Haven,FL,United States,Account_Created # 127,Last_Login # 127,Latitude # 127,-81.73306,33880
Transaction_date # 128,Product # 128,Price # 128,Visa,Name # 128,Gonzaga Univ,WA,United States,Account_Created # 128,Last_Login # 128,Latitude # 128,-117.425,99201
Transaction_date # 129,Product # 129,Price # 129,Visa,Name # 129,Winchester,MA,United States,Account_Created # 129,Last_Login # 129,Latitude # 129,-71.1375,01890
Transaction_date # 130,Product # 130,Price # 130,Visa,Name # 130,Dallas,TX,United States,Account_Created # 130,Last_Login # 130,Latitude # 130,-96.8,75201
Transaction_date # 131,Product # 131,Price # 131,Mastercard,Name # 131,Saint Paul,MN,United States,Account_Created # 131,Last_Login # 131,Latitude # 131,-93.09306,55101
Transaction_date # 132,Product # 132,Price # 132,Amex,Name # 132,Ely,NV,United States,Account_Created # 132,Last_Login # 132,Latitude # 132,-114.88778,89301
Transaction_date # 133,Product # 133,Price # 133,Amex,Name # 133,Norfolk,VA,United States,Account_Created # 133,Last_Login # 133,Latitude # 133,-76.28556,23510
Transaction_date # 134,Product # 134,Price # 134,Visa,Name # 134,Houston,TX,United States,Account_Created # 134,Last_Login # 134,Latitude # 134,-95.36306,77002
Transaction_date # 135,Product # 135,Price # 135,Mastercard,Name # 135,Buffalo Grove,IL,United States,Account_Created # 135,Last_Login # 135,Latitude # 135,-89.595,61064
Transaction_date # 136,Product # 136,Price # 136,Visa,Name # 136,Mechanics Grove,PA,United States,Account_Created # 136,Last_Login # 136,Latitude # 136,-76.16389,17566
Transaction_date # 137,Product # 137,Price # 137,Amex,Name # 137,Miami,FL,United States,Account_Created # 137,Last_Login # 137,Latitude # 137,-80.19389,33130
Transaction_date # 138,Product # 138,Price # 138,Visa,Name # 138,Silver Spring,MD,United States,Account_Created # 138,Last_Login # 138,Latitude # 138,-77.02639,20910
Transaction_date # 139,Product # 139,Price # 139,Visa,Name # 139,Portland,OR,United States,Account_Created # 139,Last_Login # 139,Latitude # 139,-122.675,97209
Transaction_date # 140,Product # 140,Price # 140,Diners,Name # 140,Staten Island,NY,United States,Account_Created # 140,Last_Login # 140,Latitude # 140,-74.1275,10306
Transaction_date # 141,Product # 141,Price # 141,Mastercard,Name # 141,San Antonio,TX,United States,Account_Created # 141,Last_Login # 141,Latitude # 141,-98.49333,78205
Transaction_date # 142,Product # 142,Price # 142,Mastercard,Name # 142,Englewood,CO,United States,Account_Created # 142,Last_Login # 142,Latitude # 142,-104.98722,80113
Transaction_date # 143,Product # 143,Price # 143,Visa,Name # 143,San Antonio,TX,United States,Account_Created # 143,Last_Login # 143,Latitude # 143,-98.49333,78205
Transaction_date # 144,Product # 144,Price # 144,Visa,Name # 144,Princeville,HI,United States,Account_Created # 144,Last_Login # 144,Latitude # 144,-159.48528,96722
Transaction_date # 145,Product # 145,Price # 145,Mastercard,Name # 145,Lafayette,CA,United States,Account_Created # 145,Last_Login # 145,Latitude # 145,-122.11694,94549
Transaction_date # 146,Product # 146,Price # 146,Visa,Name # 146,N Java,NY,United States,Account_Created # 146,Last_Login # 146,Latitude # 146,-78.33806,14113
Transaction_date # 147,Product # 147,Price # 147,Visa,Name # 147,Austin,TX,United States,Account_Created # 147,Last_Login # 147,Latitude # 147,-97.74278,78701
Transaction_date # 148,Product # 148,Price # 148,Mastercard,Name # 148,Midland Park,NJ,United States,Account_Created # 148,Last_Login # 148,Latitude # 148,-74.14111,07432
Transaction_date # 149,Product # 149,Price # 149,Amex,Name # 149,Centerport,NY,United States,Account_Created # 149,Last_Login # 149,Latitude # 149,-73.37667,11721
Transaction_date # 150,Product # 150,Price # 150,Diners,Name # 150,Shorewood,MN,United States,Account_Created # 150,Last_Login # 150,Latitude # 150,-93.56611,55331
Transaction_date # 151,Product # 151,Price # 151,Visa,Name # 151,Southlake,TX,United States,Account_Created # 151,Last_Login # 151,Latitude # 151,-97.13389,76092
Transaction_date # 152,Product # 152,Price # 152,Mastercard,Name # 152,Huntington,NY,United States,Account_Created # 152,Last_Login # 152,Latitude # 152,-73.42611,11743
Transaction_date # 153,Product # 153,Price # 153,Mastercard,Name # 153,The Woodlands,TX,United States,Account_Created # 153,Last_Login # 153,Latitude # 153,-95.48917,77381
Transaction_date # 154,Product # 154,Price # 154,Mastercard,Name # 154,White House,TN,United States,Account_Created # 154,Last_Login # 154,Latitude # 154,-86.65139,37188
Transaction_date # 155,Product # 155,Price # 155,Mastercard,Name # 155,Lake Mahopac,NY,United States,Account_Created # 155,Last_Login # 155,Latitude # 155,-73.73389,10541
Transaction_date # 156,Product # 156,Price # 156,Visa,Name # 156,Plantation,FL,United States,Account_Created # 156,Last_Login # 156,Latitude # 156,-80.14361,33301
Transaction_date # 157,Product # 157,Price # 157,Amex,Name # 157,Arlington,VA,United States,Account_Created # 157,Last_Login # 157,Latitude # 157,-77.08444,22201
Transaction_date # 158,Product # 158,Price # 158,Visa,Name # 158,Great Falls,Virginia,United States,Account_Created # 158,Last_Login # 158,Latitude # 158,-77.28861,22066
Transaction_date # 159,Product # 159,Price # 159,Visa,Name # 159,Dickerson,MD,United States,Account_Created # 159,Last_Login # 159,Latitude # 159,-77.42444,20842
Transaction_date # 160,Product # 160,Price # 160,Mastercard,Name # 160,Princeton,NJ,United States,Account_Created # 160,Last_Login # 160,Latitude # 160,-74.65944,08542
Transaction_date # 161,Product # 161,Price # 161,Visa,Name # 161,North Tustin,CA,United States,Account_Created # 161,Last_Login # 161,Latitude # 161,-117.79306,92705
Transaction_date # 162,Product # 162,Price # 162,Visa,Name # 162,Gladwyne,PA,United States,Account_Created # 162,Last_Login # 162,Latitude # 162,-75.27944,19035
Transaction_date # 163,Product # 163,Price # 163,Mastercard,Name # 163,Houston,TX,United States,Account_Created # 163,Last_Login # 163,Latitude # 163,-95.36306,77002
Transaction_date # 164,Product # 164,Price # 164,Visa,Name # 164,Downingtown,PA,United States,Account_Created # 164,Last_Login # 164,Latitude # 164,-75.70361,19335
Transaction_date # 165,Product # 165,Price # 165,Diners,Name # 165,MT Pleasant,TX,United States,Account_Created # 165,Last_Login # 165,Latitude # 165,-94.96806,75455
Transaction_date # 166,Product # 166,Price # 166,Visa,Name # 166,Katy,TX,United States,Account_Created # 166,Last_Login # 166,Latitude # 166,-95.82417,77494
Transaction_date # 167,Product # 167,Price # 167,Visa,Name # 167,Belgrade,MT,United States,Account_Created # 167,Last_Login # 167,Latitude # 167,-111.17611,59714
Transaction_date # 168,Product # 168,Price # 168,Visa,Name # 168,Corrales,NM,United States,Account_Created # 168,Last_Login # 168,Latitude # 168,-106.60611,87048
Transaction_date # 169,Product # 169,Price # 169,Diners,Name # 169,Tenafly,NJ,United States,Account_Created # 169,Last_Login # 169,Latitude # 169,-73.96333,07670
Transaction_date # 170,Product # 170,Price # 170,Visa,Name # 170,Leesburg,VA,United States,Account_Created # 170,Last_Login # 170,Latitude # 170,-77.56389,20176
Transaction_date # 171,Product # 171,Price # 171,Mastercard,Name # 171,Bryceville,FL,United States,Account_Created # 171,Last_Login # 171,Latitude # 171,-81.93889,32009
Transaction_date # 172,Product # 172,Price # 172,Visa,Name # 172,Dryden,VA,United States,Account_Created # 172,Last_Login # 172,Latitude # 172,-82.94167,24243
Transaction_date # 173,Product # 173,Price # 173,Visa,Name # 173,Fayetteville,NC,United States,Account_Created # 173,Last_Login # 173,Latitude # 173,-78.87861,28301
